All event log messages.
Date:	2014-08-19 10:18:08
System Name:	2600-501273
Controller Name:	
Controller Id	2600-501273

RobotWare:	5.15.5001
Key:	ec2222Bz6xD9A22I22Y422h22Go23z
Options:	
	RW Control module key
	RobotWare OS and English
	644-3 Spanish
		645-2 German
		709-x DeviceNet
			709-2/709-5 Master/Slave Dual
			608-1 World Zones
			611-1 Path Recovery
			613-1 Collision Detection
			812-1 Production Manager
			633-1 Arc
				650-x Power source type
					External option loaded Welder
					652-1 BullsEye
					653-x Torch Service
						653-2 Binzel - TC97

DriveModule1
Key:	Mxth-XqT01hhjhRhK
Options:	
	RW Drive module 1 key
	ABB standard manipulator
		IRB 2600
			2600ID-8/2.00
				No motor fan
				Drive System 09 2600/4400/6400R
					No additional drive

AW-MILLER-AA-007
	Key:	07PPWQPPPPO-.PFlVhgF5E-1b
Options:	

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
45104     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:40:27 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45105     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:40:27 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45106     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:40:28 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45107     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:40:29 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45108     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:40:29 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45109     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:40:30 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45110     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:40:30 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45111     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:40:33 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45114     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:40:34 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45115     	E   	Motion              	50037   	MOTORS ON order ignored                 	2014-08-18 10:40:34 	MOTORS ON order ignored since the previous stop was not yet acknowledged.	{args: "1"}
45116     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:40:34 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45117     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:40:35 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45118     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:40:37 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45119     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:40:39 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45120     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:40:40 	The system is in the Motors ON state.	{args: }
45121     	W   	Operational         	10068   	Start Program                           	2014-08-18 10:40:40 	Unable to start program for task T_ROB1.	{args: "T_ROB1"}
45122     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:40:41 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45123     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:41:31 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45124     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:41:32 	The system is in the Motors ON state.	{args: }
45125     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:41:33 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45126     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:41:33 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45127     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:41:33 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45130     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:41:38 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45131     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:41:40 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45132     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:41:41 	The system is in the Motors ON state.	{args: }
45133     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:41:42 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45134     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:41:43 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45135     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:41:44 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45136     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:41:45 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45137     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:41:47 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45138     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:41:48 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45139     	I   	Operational         	10016   	Automatic mode requested                	2014-08-18 10:42:34 	The system has been ordered to go to the Automatic mode.	{args: }
45140     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:42:34 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45141     	W   	Operational         	10068   	Start Program                           	2014-08-18 10:42:38 	Unable to start program for task T_ROB1.	{args: "T_ROB1"}
45142     	W   	Operational         	10068   	Start Program                           	2014-08-18 10:42:40 	Unable to start program for task T_ROB1.	{args: "T_ROB1"}
45143     	I   	Operational         	10017   	Automatic mode confirmed                	2014-08-18 10:42:52 	The system is in the Automatic mode.	{args: }
45144     	W   	Operational         	10068   	Start Program                           	2014-08-18 10:43:05 	Unable to start program for task T_ROB1.	{args: "T_ROB1"}
45145     	W   	Operational         	10068   	Start Program                           	2014-08-18 10:43:06 	Unable to start program for task T_ROB1.	{args: "T_ROB1"}
45146     	I   	Operational         	10015   	Manual mode selected                    	2014-08-18 10:44:41 	The system is in the Manual mode.	{args: }
45147     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:44:41 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45148     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:44:48 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45149     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:44:49 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45150     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:44:51 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45151     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:44:52 	The system is in the Motors ON state.	{args: }
45152     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:44:54 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45153     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:45:06 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45154     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:45:07 	The system is in the Motors ON state.	{args: }
45155     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:45:09 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45156     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:45:09 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45157     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:45:09 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45160     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:45:14 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45161     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:45:21 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45162     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:45:22 	The system is in the Motors ON state.	{args: }
45163     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:45:22 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45164     	I   	Operational         	10025   	Collision confirmed                     	2014-08-18 10:47:37 	The collision detection has been confirmed. 	{args: }
45165     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:48:23 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45166     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:48:24 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45167     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:50:05 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45168     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:50:06 	The system is in the Motors ON state.	{args: }
45169     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:50:07 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45170     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:50:07 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45171     	E   	System              	20260   	Run Control status conflict, DRV1       	2014-08-18 10:50:09 	Status conflict between Run Control and Motor Contactors for drive system 1.	{args: }
45172     	W   	Motion              	50438   	Motor off sequence has timed out        	2014-08-18 10:50:12 	The mechanical unit ROB_1 has not been able to finish the motor off sequence during configured time.	{args: "ROB_1"}
45173     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:50:12 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45175     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:50:16 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45176     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:50:53 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45177     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:50:55 	The system is in the Motors ON state.	{args: }
45178     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:50:55 	Motion supervision triggered for axis 4 on mechanical unit ROB_1.	{args: "4", "ROB_1"}
45179     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:50:56 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45180     	E   	System              	20260   	Run Control status conflict, DRV1       	2014-08-18 10:50:58 	Status conflict between Run Control and Motor Contactors for drive system 1.	{args: }
45181     	W   	Motion              	50438   	Motor off sequence has timed out        	2014-08-18 10:51:00 	The mechanical unit ROB_1 has not been able to finish the motor off sequence during configured time.	{args: "ROB_1"}
45182     	E   	System              	20311   	Enable 1 open                           	2014-08-18 10:51:05 	The ENABLE 1 circuit monitoring the Safety System has been opened.	{args: }
45183     	E   	System              	20312   	Enable 2 open                           	2014-08-18 10:51:05 	The ENABLE 2 circuit monitoring the Axis Computer has been opened.	{args: }
45184     	W   	Motion              	50438   	Motor off sequence has timed out        	2014-08-18 10:51:06 	The mechanical unit ROB_1 has not been able to finish the motor off sequence during configured time.	{args: "ROB_1"}
45185     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:51:06 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45186     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:51:07 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45187     	I   	Operational         	10024   	Collision triggered                     	2014-08-18 10:51:07 	Some mechanical part of the manipulator has collided with a piece of fixed equipment in the cell.	{args: }
45188     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:51:07 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45189     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:51:08 	The system is in the Motors ON state.	{args: }
45190     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:51:08 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45191     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:51:08 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45193     	E   	Motion              	50037   	MOTORS ON order ignored                 	2014-08-18 10:51:11 	MOTORS ON order ignored since the previous stop was not yet acknowledged.	{args: "2"}
45194     	I   	Operational         	10026   	Collision retraction                    	2014-08-18 10:51:11 	The manipulator has attempted to back away from the obstacle, into which it collided, and succeeded.	{args: }
45195     	I   	Operational         	10010   	Motors OFF state                        	2014-08-18 10:58:32 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
45196     	I   	Operational         	10011   	Motors ON state                         	2014-08-18 10:58:33 	The system is in the Motors ON state.	{args: }
45197     	E   	Motion              	50204   	Motion supervision                      	2014-08-18 10:58:34 	Motion supervision triggered for axis 5 on mechanical unit ROB_1.	{args: "5", "ROB_1"}
45198     	I   	Operational         	10012   	Safety guard stop state                 	2014-08-18 10:58:34 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop. 	{args: }
45199     	E   	System              	20260   	Run Control status conflict, DRV1       	2014-08-18 10:58:36 	Status conflict between Run Control and Motor Contactors for drive system 1.	{args: }
45200     	W   	Motion              	50438   	Motor off sequence has timed out        	2014-08-18 10:58:39 	The mechanical unit ROB_1 has not been able to finish the motor off sequence during configured time.	{args: "ROB_1"}
